Passport ID,Sample ID,Class,Country,Gender,Age Group,Angle,Distance Category,Resolution,Camera,Light Condition,Background,Timestamp
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A1_D1,attack,NZ,M,18-30,0°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:21+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A1_D2,attack,NZ,M,18-30,0°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:21+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A2_D1,attack,NZ,M,18-30,20°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:21+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A2_D2,attack,NZ,M,18-30,20°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A3_D1,attack,NZ,M,18-30,45°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B1_A3_D2,attack,NZ,M,18-30,45°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A1_D1,attack,NZ,M,18-30,0°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A1_D2,attack,NZ,M,18-30,0°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A2_D1,attack,NZ,M,18-30,20°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A2_D2,attack,NZ,M,18-30,20°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A3_D1,attack,NZ,M,18-30,45°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B2_A3_D2,attack,NZ,M,18-30,45°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A1_D1,attack,NZ,M,18-30,0°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A1_D2,attack,NZ,M,18-30,0°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A2_D1,attack,NZ,M,18-30,20°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A2_D2,attack,NZ,M,18-30,20°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A3_D1,attack,NZ,M,18-30,45°,close,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B3_A3_D2,attack,NZ,M,18-30,45°,far,4032x3024,iphone_13_front,natural_light,outdoor_pavement,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A1_D1,attack,NZ,M,18-30,0°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A1_D2,attack,NZ,M,18-30,0°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A2_D1,attack,NZ,M,18-30,20°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A2_D2,attack,NZ,M,18-30,20°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:22+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A3_D1,attack,NZ,M,18-30,45°,close,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L1_B4_A3_D2,attack,NZ,M,18-30,45°,far,4032x3024,iphone_13_front,natural_light,documents_on_documents,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A1_D1,attack,NZ,M,18-30,0°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A1_D2,attack,NZ,M,18-30,0°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A2_D1,attack,NZ,M,18-30,20°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A2_D2,attack,NZ,M,18-30,20°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A3_D1,attack,NZ,M,18-30,45°,close,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
P_NZ_CM316845,P_NZ_CM316845_L2_B1_A3_D2,attack,NZ,M,18-30,45°,far,4032x3024,iphone_13_front,office_light,neutral_wall,2025-10-07T09:35:23+00:00Z
